Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19
97E049E360115173E0531B96D48E86D3,A.D Hanslip Excavating & Demolition Ltd.,A.D Hanslip Excavating & Demolition Ltd.,,,,,East St Paul,Manitoba,2-3014 Henderson Hwy,,R2E0H9,Civil ConstructionSewer  Water TruckingAggregate Production  Supply,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E360115173E0531B96D48E86D3,416390 - Other Specialty-Line Building Supplies Wholesaler-Distributors,237310 - Highway  Street and Bridge Construction | 238910 - Site Preparation Contractors | ,5139C - General Heavy Construction | N2320 - Trucks and Truck Tractors  Wheeled | N5610L - Stone and Aggregate | V001B - Trucking | N3805 - Earthmoving and Excavating Equipment | 5131C - Highways  Roads  Railways   Airfield Runways | 5162A - Water Plumbing and Drain Laying Work | N2330 - Trailers | 5169D - Other Installation Work | WR2320 - TRUCKS AND TRUCK TRACTORS  WHEELED - RENTAL | 5139A - Construction Services  Not Elsewhere Specified | WR2330 - TRAILERS - RENTAL | ,
22A02270B51A0E48A43662D72E680556,A.E.W. Limited Partnership,A.E.W. Limited Partnership,doaten@nntc.ca,250 455 2711,250 455 2565,www.nntc.ca,Lytton,British Columbia,PO Box 430,St Georges Rd.,V0K 1Z0,AEW LP was formed in 2017 by Nlakapamux Nation Tribal Council NNTC member communities to carry out on the ground work related to archaeology the environment and wildlife protection This work has been made necessary by the activities of ,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=22A02270B51A0E48A43662D72E680556,81 - Other Services (except Public Administration),,E199D - Environmental Services | ,
747BC70DC9785942859B7BA899220A52,A.I.M. PC Inc,A.I.M. PC Inc,admin@aimpc.ca,833-533-2467,833-391-6669,www.aimpc.ca,Winnipeg,Manitoba,543 St. Catherine St.,,R2J 0N2,AIM PC Inc is a project consulting company that specializes in working in remote and northern communities,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=747BC70DC9785942859B7BA899220A52, - ,541619 - Other Management Consulting Services | 541611 - Administrative Management and General Management Consulting Services | ,M190A - Property and Facilities Management - Buildings | R123AH - Project Management Services | R019F - Consulting Services | ,
88A30CC6C259734AA4F3A29B184570DF,Aanwi Inc.,Aanwi Inc.,Al.Bradley@Aanwi.ca,403 710-9777,403 290-6622,www.Aanwi.ca,Calgary,Alberta,PO Box 20073,Calgary Place,T2P 4J2,Aanwi is a cradle to grave service company for multi scale construction reclamation and remediation projects  Aanwi is passionate about Damage Prevention Process and strives to reduce risk and exposure through out your project while remaining ,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=88A30CC6C259734AA4F3A29B184570DF, - ,213118 - Services to Oil and Gas Extraction | 541620 - Environmental Consulting Services | 237210 - Land Subdivision | 237310 - Highway  Street and Bridge Construction | 237990 - Other Heavy and Civil Engineering Construction | 238910 - Site Preparation Contractors | 238990 - All Other Specialty Trade Contractors | ,5139C - General Heavy Construction | R010A - Internal and External Audits (Supply Arrangement PASS) | 5161B - Heating  Ventilation and Air Conditioning Maintenance & Inspection Services | T001B - Public Opinion Research - Qualitative | R019E - Business Services | WR2350A - SNOWMOBILE - RENTAL | U006C - Technical / Vocational Training | R019U - Professional Services / Program Research Analysis | N5650 - Roofing and Siding Materials | R199B - Miscellaneous Business Services | 5179I - Other Building Completion and Finishing | E199D - Environmental Services | F010B - Forestry Services  Not Elsewhere Specified | C219D - Other Architectural and Engineering Services - Real Property | 5174A - Floor and Wall Tiling Work | V001B - Trucking | B109A - Other Environmental Studies | D302A - Informatics Professional Services | D317B - Information Retrieval Services  Database | U099S - Safety Training Courses | N3805 - Earthmoving and Excavating Equipment | K107A - Landscaping and Horticultural Services | N5410 - Prefabricated and Portable Buildings | 5131C - Highways  Roads  Railways   Airfield Runways | 5162A - Water Plumbing and Drain Laying Work | 5139B - Engineering Works  Not Elsewhere Specified | U008F - Training Analysis and Design Courses | K100A - Cleaning and Maintenance  Janitorial | B103A - Water Quality Studies | M110A - Property Management - Office Space/Administrative Buildings | N6830 - Gases  Compressed and Liquified | 5169D - Other Installation Work | 5139A - Construction Services  Not Elsewhere Specified | R123A - Organization Development | B101A - Environmental Impact Studies | G102A - Recreational Services | E108F - Northern Contaminated Site Environmental Clean-up Work/Services | 5129B - Construction of Other Buildings | R114A - Logistics Support Services Military Aerospace Related | R199H - Consulting Services  Change Management / Organizational Development (CM/OD) | N6675 - Drafting  Surveying and Mapping Instruments | T019D - Survey Services  Interior and Exterior | N9999 - Miscellaneous Items | 5169E - Doors and Windows Installation and Repair Services | AH215000 - Environmental Sciences: Air  Water Pollution and other (R&D) | 5164C - Building Fire Protection Systems | WR2310 - PASSENGER MOTOR VEHICLES - RENTAL | T005A - Graphic Design Services - including website | AG214598 - Liquid Natural Gas Pipeline Techonology  (R&D) | B302A - Feasibility Studies/Needs Analysis | N1550A - Drones  Unmanned Air Vehicle Manufacturers | ,
97E049E365985173E0531B96D48E86D3,Aaron Aubin Consulting Inc.,Aaron Aubin Consulting Inc.,aaron@aaronaubin.com,,,http://www.aaronaubin.com,Calgary,Alberta,218-7710 5th St SE,,T2H2L9,Aaron Aubin Consulting Inc is an Indigenous-owned consulting firm working with a network of companies associates and colleagues to bring the right expertise together to deliver tailored and innovative solutions to our clientsWe deliver a ,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E365985173E0531B96D48E86D3,541619 - Other Management Consulting Services,541690 - Other Scientific and Technical Consulting Services | ,R019E - Business Services | R019U - Professional Services / Program Research Analysis | R199B - Miscellaneous Business Services | E199D - Environmental Services | B109A - Other Environmental Studies | T000H - Communication Writing and Editing Services | B101A - Environmental Impact Studies | R199H - Consulting Services  Change Management / Organizational Development (CM/OD) | B302A - Feasibility Studies/Needs Analysis | ,
97E049E35FEA5173E0531B96D48E86D3,Aazhoodena Beach Company,Aazhoodena Beach Company,,,,,Kettle And Stony Point Fn,Ontario,7042 Lakeshore Rd,,N0N1J1,General Labour and Construction,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E35FEA5173E0531B96D48E86D3,236110 - Residential Building Construction,,5153A - Roofing  Siding and Sheet Metal Installation Services | 5162C - Plumbing Contractor Services | 5173B - Painting Work | 5179I - Other Building Completion and Finishing | 5174A - Floor and Wall Tiling Work | 5153B - Roofing and Waterproofing | 5112B - Demolition Work | 5179F - Building/Installation Special Trade Services  Not Elsewhere Specified | 5131C - Highways  Roads  Railways   Airfield Runways | 5162A - Water Plumbing and Drain Laying Work | 5169D - Other Installation Work | 5139A - Construction Services  Not Elsewhere Specified | 5129B - Construction of Other Buildings | 5169E - Doors and Windows Installation and Repair Services | 5177B - Interior Fitting Decoration Work | ,
97E049E361C25173E0531B96D48E86D3,AB Original welding services ltd.,AB Original welding services ltd.,abowelding@outlook.com,,,,Edmonton,Alberta,12447 54St NW,,T5W3N8,welding,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E361C25173E0531B96D48E86D3,238120 - Structural Steel and Precast Concrete Contractors,811310 - Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance | ,5139C - General Heavy Construction | C211D - Architect and Engineering Services - Buildings | N6830 - Gases  Compressed and Liquified | ,
97E049E35FA85173E0531B96D48E86D3,AB Storage,First Nations Management,psteinson@shaw.ca,,,http://www.storageduncan.com,Sidney,British Columbia,2356 Schooner Close,,V8L4S9,Warehouse and Storage Services land available zoned for manufacturing and industrial,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E35FA85173E0531B96D48E86D3,493190 - Other Warehousing and Storage,,N5995 - Cable  Cord  and Wire Assemblies  Communication Equipment | L099A - Financial and Related Services  N.E.S. | R019U - Professional Services / Program Research Analysis | R199B - Miscellaneous Business Services | V505A - Storage and Warehousing | N8115 - Boxes  Cartons and Crates | M110A - Property Management - Office Space/Administrative Buildings | L099B - Financial Management | N7510 - Office Supplies | B308A - Accounting and Financial Management Studies | ,
97E049E363B75173E0531B96D48E86D3,Abben Heating & Plumbing Ltd. & Abben Electric,Abben Heating & Plumbing Ltd.,abbenheating@hotmail.com,,,http://abbenheatingandplumbing.com/,La Ronge,Saskatchewan,P.O. Box 1619,,S0J1L0,Aboriginal owned and operated company provide plumbing heating and electrical services in La Ronge and Northern Saskatchewan,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E363B75173E0531B96D48E86D3,238220 - Plumbing  Heating and Air-Conditioning Contractors,,5162C - Plumbing Contractor Services | 5161B - Heating  Ventilation and Air Conditioning Maintenance & Inspection Services | N4510AE - Plumbing Fixtures  Institutional | N4510 - Plumbing Fixtures and Accessories | N4130A - Air Conditioning and Heating Combination Components (Domestic) | N4130 - Refrigeration and Air Conditioning Components | 5162A - Water Plumbing and Drain Laying Work | N6220 - Electric Vehicular Lights and Fixtures | 5164A - Electrical Installations and Major Repairs | N4510GA - Plumbing Supplies  Fittings  Faucets  Etc. | N5999 - Miscellaneous Electrical and Electronic Components | N4520A - Furnaces  Warm Air  Oil  Gas or Solid Fuel (Domestic) | ,
97E049E3622E5173E0531B96D48E86D3,ABD Partners Ltd.,ABD Partners Ltd.,grochon@abdpartners.ca,,,http://www.abdpartners.ca,Hiawatha,Ontario,25 Angela's Lane,,K9J0E6,ABD Partners Ltd is an AboriginalFirst Nation business which partners with a variety of industries providing a full complement of services to commercial and business aviation petroleum mining and environmental industries as well as to the ,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E3622E5173E0531B96D48E86D3,541360 - Geophysical Surveying and Mapping Services,238910 - Site Preparation Contractors | 541690 - Other Scientific and Technical Consulting Services | ,R199B - Miscellaneous Business Services | F010D - Agricultural Services  Not Elsewhere Specified | N1510 - Aircraft  Fixed Wing | AA910300 - Agriculture (R&D) | R114A - Logistics Support Services Military Aerospace Related | N1510A - Airplanes  Civil Certified | V401B - Transportation | N1520A - Helicopters (Civilian) | ,
E0AB93D0044DFB469AC6BC6A90ABC904,Abenaki Computer Enterprises Ltd,Abenaki Computer Enterprises Ltd,admin@abenaki.com,8003611402,,Www.Abenaki.com,Eel Ground,New Brunswick,61 Riverview Rd west,,E1V 4G2,We provide sales training and support services in Sage 300 and Sage 50We also have out own software product suite specifically for First Nations  Some of theModules integrate with Sage 300,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=E0AB93D0044DFB469AC6BC6A90ABC904, - ,541510 - Computer Systems Design and Related Services | 611420 - Computer Training | ,B308A - Accounting and Financial Management Studies | ,
97E049E364E95173E0531B96D48E86D3,Abiwin Ventures Limited,Abiwin Ventures Limited,tom.kehoe@abiwin.com,,,http://www.abiwin.com,Toronto,Ontario,29 Hawthorn Ave,,M4W2Z1,Abiwin is a integrated information technology solutions provider It seeks to forge innovative partnerships between Indigenous communities private enterprise and all levels of government,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E364E95173E0531B96D48E86D3, - ,541990 - All Other Professional  Scientific and Technical Services | ,D302A - Informatics Professional Services | ,
01517D1A978A9042BBACE93A40B6E620,ABM Plumbing and Heating Solutions,ABM Plumbing and Heating Solutions,aaron@abmplumbing.ca,3069411046,,,Prince Albert,Saskatchewan,Lot 4 Aspen Estates,,S6V5S4,Providing plumbing heating ventilation air conditioning and gas fitting installation service and repair to Prince Albert and Area,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=01517D1A978A9042BBACE93A40B6E620, - ,238220 - Plumbing  Heating and Air-Conditioning Contractors | ,5161A - Heating (except electric heating) and Air Conditioning | 5161AC - Heating Contractor Services (except electrical heating) | 5162C - Plumbing Contractor Services | JX4510 - Plumbing Fixtures and Accessories - Repair | ,
97E049E362FF5173E0531B96D48E86D3,Abo Technologie Inc,Abo Technologie Inc,jp.grondin@abotech.ca,,,http://abotech.ca,Lévis,Quebec,91 Des Trois-Manoirs Rd,,G6Z7R6,Abo Technologies Inc supply numerous products and services in IT and telecoms to the Canadian Federal Government,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E362FF5173E0531B96D48E86D3,517910 - Other Telecommunications,,N7010 - Automatic Data Processing Equipment  System Configuration | N7050 - ADP Components | U006C - Technical / Vocational Training | N7045 - Computer Supplies | N5830 - Intercommunication and Public Address Systems  Except Airborne | N5835 - Sound Recording and Reproducing Equipment | N7030 - ADP Software | N5836 - Video Recording and Reproduction Equipment | N7520 - Office Devices and Accessories | N7020 - ADP Central Processing Unit (CPU  Computer) Analog | N5805 - Telephone and Telegraph Equipment | N7510 - Office Supplies | N7035 - ADP Support Equipment | N5820 - Radio and Television Communications Equipment  Except Airborne | N7025 - ADP Input-Output and Storage Devices | N5810 - Communications Security Equipment and Components | ,
97E049E3640E5173E0531B96D48E86D3,Aboriginal Apprenticeship Board of Ontario,Aboriginal Apprenticeship Organization of Ontario Inc,saramonture@aabo.ca,,,http://www.aabo.ca,Ohsweken,Ontario,PO Box 761,,N0A1M0,AABO is a not-for-profit organization dedicated to increasing the number of Indigenous people in the skilled trades,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E3640E5173E0531B96D48E86D3,813910 - Business Associations,,R201A - General Office Help | R199B - Miscellaneous Business Services | R199H - Consulting Services  Change Management / Organizational Development (CM/OD) | ,
97E049E362C45173E0531B96D48E86D3,Aboriginal Building Construction Services Corp. / 1st Foam Inc.,Aboriginal Building Construction Services Corp.,derek.abcsc@gmail.com,,,,Barrie,Ontario,79 Burton Ave,,L4N2R5,Construction,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E362C45173E0531B96D48E86D3,236110 - Residential Building Construction,236220 - Commercial and Institutional Building Construction | ,5139C - General Heavy Construction | U006C - Technical / Vocational Training | ,
